Line,Donor_Lat,Donor_Lon,Donor_Ele
LANDB078B,5.32,-74.92,840
LANDB078C,5.32,-74.92,840
LANDB080A,-8.597077,-78.732381,14
LANDB080B,-8.597077,-78.732381,14
LANDB080C,-8.597077,-78.732381,14
LANDB081A,-20.816261,-66.215533,3937
LANDB081B,-20.816261,-66.215533,3937
LANDB081C,-20.816261,-66.215533,3937
LANDB082A,-20.680467,-63.292271,755
LANDB082B,-20.680467,-63.292271,755
LANDB082C,-20.680467,-63.292271,755
LANDB083A,-0.148041,-78.457937,2890
LANDB083B,-0.148041,-78.457937,2890
LANDB083C,-0.148041,-78.457937,2890
LANDB084A,-1.066298,-80.44021,36
LANDB084B,-1.066298,-80.44021,36
LANDB084C,-1.066298,-80.44021,36
LANDB085A,-13.950973,-71.744682,3061
LANDB085B,-13.950973,-71.744682,3061
LANDB085C,-13.950973,-71.744682,3061
LANDB086A,-14.660126,-75.219284,236
LANDB086B,-14.660126,-75.219284,236
LANDB086C,-14.660126,-75.219284,236
LANDB087A,-4.635925,-79.710107,2641
LANDB087B,-4.635925,-79.710107,2641
LANDB087C,-4.635925,-79.710107,2641
LANDB088A,-4.872712,-80.711375,49
LANDB088B,-4.872712,-80.711375,49
LANDB088C,-4.872712,-80.711375,49
LANDB089A,-23.534009,-65.76493,3488
LANDB089B,-23.534009,-65.76493,3488
LANDB089C,-23.534009,-65.76493,3488
LANDB090A,-23.78,-61.48,175
LANDB090B,-23.78,-61.48,175
LANDB090C,-23.78,-61.48,175
LANDB091A,-3.620286,-79.237167,2497
LANDB091B,-3.620286,-79.237167,2497
LANDB091C,-3.620286,-79.237167,2497
LANDB092A,-2.761385,-79.747472,2
LANDB092B,-2.761385,-79.747472,2
LANDB092C,-2.761385,-79.747472,2
LANDB093A,-20.78333333,-64.76666667,3100
LANDB093B,-20.78333333,-64.76666667,3100
LANDB093C,-20.78333333,-64.76666667,3100
LANDB094A,-21.550444,-64.126759,920
LANDB094B,-21.550444,-64.126759,920
LANDB094C,-21.550444,-64.126759,920
LANDB099A,-16.5,-68.15,3929
LANDB099B,-16.5,-68.15,3929
LANDB099C,-16.5,-68.15,3929
LANDB100A,-17.41666667,-60.66666667,324
LANDB100B,-17.41666667,-60.66666667,324
LANDB100C,-17.41666667,-60.66666667,324
LANDB101A,-9.385108,-77.240432,3524
LANDB101B,-9.385108,-77.240432,3524
LANDB101C,-9.385108,-77.240432,3524
