Line,State,Line-id,line-plant,Donor,Pop,Donor_CIMMYT_ID,Donor_ID,Donor_Accession,Donor_Race,Donor_Lat,Donor_Lon,Donor_Ele,F1,BC1 (683),BC1_ALTERNATIVE,BC1S1 (650),BC1S2 (599),BC1S3 (452),BC1 S4 (414),BC1 S4 BULK1 (225),Bulk1 Weight (gr),BC1 S4 BULK2 ,Bulk2 Weight (gr),TC-T6,TC-Weight (gr)
LANDB011A,BC1S4-bulked,LANDB011,A,Mex_14-High,HiLo,CIMMYTMA-006081,1807,OAXA350,CONICO,17.190837,-97.867153,2338,,RS17-255xB73,,UL18A-495@,UNISEM_18B_1555@,UNISEM19A_RS-10(RS19-7010)@,PV21-1519,CLY21B7-302,242,,,,
LANDB011B,Lost,,,Mex_14-High,HiLo,CIMMYTMA-006081,1807,OAXA350,CONICO,17.190837,-97.867153,2338,,RS17-255xB73,,,,,,,,,,,
LANDB011C,Lost,,,Mex_14-High,HiLo,CIMMYTMA-006081,1807,OAXA350,CONICO,17.190837,-97.867153,2338,,RS17-255xB73,,,,,,,,,,,
LANDB012A,BC1S4,LANDB012,A,Mex_14-Low,HiLo,CIMMYTMA-025041,4033,CHIS533,OLOTIL,16.7,-93.71666667,547,,RS17-254xB73,RS17-254xB73,RS17-6609.1@,UNISEM_18B_1558@,UNISEM19A_RS-11(RS19-7011)@,PV21-1522,,,,,,
LANDB012B,BC1S4-bulked,LANDB012,B,Mex_14-Low,HiLo,CIMMYTMA-025041,4033,CHIS533,OLOTIL,16.7,-93.71666667,547,,RS17-254xB73,RS17-254xB73,RS17-6609.2@,UL18A-499@,UNISEM_18B_1559@,RS19-3085,PV21-14,700,CLY21-B7-49,250,,
LANDB012C,BC1S4-bulked,LANDB012,C,Mex_14-Low,HiLo,CIMMYTMA-025041,4033,CHIS533,OLOTIL,16.7,-93.71666667,547,,RS17-254xB73,RS17-254xB73,RS17-6609.3@,UL18A-500@,UNISEM_18B_1560@,RS19-3086,PV21-15,490,,,,
LANDB013A,BC1S3,LANDB013,A,Mex_15-High,HiLo,CIMMYTMA-005606,11999,MICH355,CACAHU,19.65,-102.2666667,2287,,RS17-126xB73,RS17-250xB73,RS17-6610.1@,UL18A-501@,PV21-1447,,,,,,,
LANDB013B,Lost,,,Mex_15-High,HiLo,CIMMYTMA-005606,11999,MICH355,CACAHU,19.65,-102.2666667,2287,,RS17-126xB73,RS17-250xB73,,,,,,,,,,
LANDB013C,BC1S4,LANDB013,C,Mex_15-High,HiLo,CIMMYTMA-005606,11999,MICH355,CACAHU,19.65,-102.2666667,2287,,RS17-126xB73,RS17-250xB73,UL18A-503@,UNISEM_18B_1563@,UNISEM19B-12626,PV21-1631,,,,,,
LANDB014A,BC1S4,LANDB014,A,Mex_15-Low,HiLo,CIMMYTMA-017852,20799,MORE128,TUXPEN,18.71666667,-99.36666667,952,,RS17-127xB73,RS17-251xB73,RS17-6611.1@,UL18A-504@,UNISEM_18B_1564@,RS19-3087,,,,,,
