Line,State,Line-id,line-plant,Donor,Pop,Donor_CIMMYT_ID,Donor_ID,Donor_Accession,Donor_Race,Donor_Lat,Donor_Lon,Donor_Ele,F1,BC1 (683),BC1_ALTERNATIVE,BC1S1 (650),BC1S2 (599),BC1S3 (452),BC1 S4 (414),BC1 S4 BULK1 (225),Bulk1 Weight (gr),BC1 S4 BULK2 ,Bulk2 Weight (gr),TC-T6,TC-Weight (gr)
LANDB063A,BC1S4,LANDB063,A,SA_16-High,HiLo,CIMMYTMA-015009,18712,BOZM0748,AYZUMA,-18.18333333,-65.08333333,2520,,RS17-259xB73,RS17-259xB73,RS17-6660.1@,UNISEM_18B_1705@,UNISEM19A_RS-73(RS19-7073)@,PV21-1613,,,,,,
LANDB063B,BC1S4-bulked,LANDB063,B,SA_16-High,HiLo,CIMMYTMA-015009,18712,BOZM0748,AYZUMA,-18.18333333,-65.08333333,2520,,RS17-259xB73,RS17-259xB73,RS17-6660.2@,UL18A-646@,UNISEM_18B_1706@,RS19-3169,PV21-89,152,,,,
LANDB063C,BC1S4,LANDB063,C,SA_16-High,HiLo,CIMMYTMA-015009,18712,BOZM0748,AYZUMA,-18.18333333,-65.08333333,2520,,RS17-259xB73,RS17-259xB73,RS17-6660.3@,UNISEM_18B_1707@,PV21-1614,CLY21-464@,,,,,,
LANDB064A,BC1S4-bulked,LANDB064,A,SA_16-Low,HiLo,CIMMYTMA-011854,16641,BOLI802,POJOSO,-18.965107,-57.827936,120,,RS17-258xB73,,RS17-6661.1@,UL18A-648@,UNISEM_18B_1708@,RS19-3170,PV21-90,363,,,,
LANDB064B,BC1S4-bulked,LANDB064,B,SA_16-Low,HiLo,CIMMYTMA-011854,16641,BOLI802,POJOSO,-18.965107,-57.827936,120,,RS17-258xB73,,RS17-6661.2@,UL18A-649@,UNISEM_18B_1709@,RS19-3171,PV21-91,334,,,,
LANDB064C,BC1S4,LANDB064,C,SA_16-Low,HiLo,CIMMYTMA-011854,16641,BOLI802,POJOSO,-18.965107,-57.827936,120,,RS17-258xB73,,UL18A-650@,UNISEM_18B_1710@,PV21-1471,CLY21-397@,,,,,,
LANDB065A,BC1S4-bulked,LANDB065,A,SA_17-High,HiLo,CIMMYTMA-008025,13831,ARGE521,,-23.2,-65.35,2973,,RS17-207xB73,RS17-207xB73,RS17-6662.1@,UL18A-651@,UNISEM_18B_1711@,RS19-3172,PV21-92,221,CLY21-B7-131,101,,
LANDB065B,BC1S4,LANDB065,B,SA_17-High,HiLo,CIMMYTMA-008025,13831,ARGE521,,-23.2,-65.35,2973,,RS17-207xB73,RS17-207xB73,RS17-6662.2@,UL18A-652@,UNISEM_18B_1712@,PV21-1472,,,,,,
LANDB065C,BC1S4,LANDB065,C,SA_17-High,HiLo,CIMMYTMA-008025,13831,ARGE521,,-23.2,-65.35,2973,,RS17-207xB73,RS17-207xB73,RS17-6662.3@,UNISEM_18B_1713@,UNISEM19A_RS-76(RS19-7076)@,PV21-1615,,,,,,
LANDB066A,BC1S4-bulked,LANDB066,A,SA_17-Low,HiLo,CIMMYTMA-014287,18057,BOZM0258,CUBAAM,-22.537684,-64.40514,559,,RS17-206xB73,,RS17-6663.1@,UL18A-654@,UNISEM_18B_1714@,RS19-3174,PV21-93,310,,,,
LANDB066B,BC1S4-bulked,LANDB066,B,SA_17-Low,HiLo,CIMMYTMA-014287,18057,BOZM0258,CUBAAM,-22.537684,-64.40514,559,,RS17-206xB73,,RS17-6663.2@,UL18A-655@,UNISEM_18B_1715@,RS19-3175,PV21-94,397,,,,
LANDB066C,BC1S4,LANDB066,C,SA_17-Low,HiLo,CIMMYTMA-014287,18057,BOZM0258,CUBAAM,-22.537684,-64.40514,559,,RS17-206xB73,,UL18A-656@,UNISEM_18B_1716@,UNISEM19A_RS-77(RS19-7077)@,PV21-1616,,,,,,
LANDB067A,BC1S4-bulked,LANDB067,A,SA_19-High,HiLo,CIMMYTMA-014359,18124,BOZM0697,AYZUMA,-21.36666667,-65.23333333,2900,,RS17-169xB73,RS17-169xB73,RS17-6664.1@,UL18A-657@,UNISEM_18B_1717@,RS19-3176,PV21-95,334,,,,
LANDB067B,BC1S4-bulked,LANDB067,B,SA_19-High,HiLo,CIMMYTMA-014359,18124,BOZM0697,AYZUMA,-21.36666667,-65.23333333,2900,,RS17-169xB73,RS17-169xB73,RS17-6664.2@,UL18A-658@,UNISEM_18B_1718@,RS19-3177,PV21-96,576,CLY21-B7-135,178,,
LANDB067C,BC1S4,LANDB067,C,SA_19-High,HiLo,CIMMYTMA-014359,18124,BOZM0697,AYZUMA,-21.36666667,-65.23333333,2900,,RS17-169xB73,RS17-169xB73,,UNISEM_18B_1719@,PV21-1617,CLY21-465@,,,,,,
LANDB068A,BC1S4-bulked,LANDB068,A,SA_19-Low,HiLo,CIMMYTMA-014283,18054,BOZM0244,CUBAAM,-21.91666667,-63.66666667,640,,RS17-103xB73,,RS17-6665.1@,UL18A-660@,UNISEM_18B_1720@,RS19-3178,PV21-97,183,,,,
LANDB068B,BC1S4-bulked,LANDB068,B,SA_19-Low,HiLo,CIMMYTMA-014283,18054,BOZM0244,CUBAAM,-21.91666667,-63.66666667,640,,RS17-103xB73,,RS17-6665.2@,UL18A-661@,UNISEM_18B_1721@,RS19-3179,PV21-98,265,,,,
LANDB068C,BC1S4-bulked,LANDB068,C,SA_19-Low,HiLo,CIMMYTMA-014283,18054,BOZM0244,CUBAAM,-21.91666667,-63.66666667,640,,RS17-103xB73,,UL18A-662@,UNISEM_18B_1722@,UNISEM19A_RS-79(RS19-7079)@,PV21-1618,CLY21B7-355,369,,,,
LANDB069A,BC1S4-bulked,LANDB069,A,SA_2-High,HiLo,CIMMYTMA-012291,16807,HVCA.15,,-12.634544,-74.86529,3263,,RS17-248xB73,RS17-248xB73,RS17-6666.1@,UL18A-663@,UNISEM_18B_1723@,RS19-3180,PV21-99,394,,,,
LANDB069B,BC1S4,LANDB069,B,SA_2-High,HiLo,CIMMYTMA-012291,16807,HVCA.15,,-12.634544,-74.86529,3263,,RS17-248xB73,RS17-248xB73,RS17-6666.2@,UNISEM_18B_1724@,PV21-1473,CLY21-398@,,,,,,
LANDB069C,BC1S4-bulked,LANDB069,C,SA_2-High,HiLo,CIMMYTMA-012291,16807,HVCA.15,,-12.634544,-74.86529,3263,,RS17-248xB73,RS17-248xB73,RS17-6666.3@,UL18A-665@,UNISEM_18B_1725@,RS19-3181,PV21-100,379,,,,
LANDB070A,BC1S4-bulked,LANDB070,A,SA_2-Low,HiLo,CIMMYTMA-009022,14712,PERU1101,PIRICI,-12.623998,-73.094775,751,,RS17-106xB73,RS17-249xB73,RS17-6667.1@,UL18A-666@,UNISEM_18B_1726@,RS19-3182,PV21-101,788,CLY21-B7-142,203,,
LANDB070B,BC1S4-bulked,LANDB070,B,SA_2-Low,HiLo,CIMMYTMA-009022,14712,PERU1101,PIRICI,-12.623998,-73.094775,751,,RS17-106xB73,RS17-249xB73,RS17-6667.2@,UL18A-667@,UNISEM_18B_1727@,RS19-3183,PV21-102,559,,,,
LANDB070C,BC1S4-bulked,LANDB070,C,SA_2-Low,HiLo,CIMMYTMA-009022,14712,PERU1101,PIRICI,-12.623998,-73.094775,751,,RS17-106xB73,RS17-249xB73,RS17-6667.3@,UL18A-668@,UNISEM_18B_1728@,RS19-3184,PV21-103,503,CLY21-B7-144,213,,
LANDB071A,BC1S4-bulked,LANDB071,A,SA_20-High,HiLo,CIMMYTMA-024894,26476,CAJ.138,,-6.55,-78.65,2391,,RS17-182xB73,RS17-182xB73,RS17-6668.1@,UL18A-669@,UNISEM_18B_1729@,RS19-3185,PV21-104,452,,,,
LANDB071B,BC1S4-bulked,LANDB071,B,SA_20-High,HiLo,CIMMYTMA-024894,26476,CAJ.138,,-6.55,-78.65,2391,,RS17-182xB73,RS17-182xB73,RS17-6668.2@,UL18A-670@,UNISEM_18B_1730@,RS19-3186,PV21-105,72,,,,
LANDB071C,BC1S4-bulked,LANDB071,C,SA_20-High,HiLo,CIMMYTMA-024894,26476,CAJ.138,,-6.55,-78.65,2391,,RS17-182xB73,RS17-182xB73,RS17-6668.3@,UL18A-671@,UNISEM_18B_1731@,RS19-3187,PV21-106,20,,,,
LANDB073A,BC1S4-bulked,LANDB073,A,SA_21-High,HiLo,CIMMYTMA-024925,26507,JUN.160,SNJERO,-11.904015,-75.321984,3315,,RS17-214xB73,RS17-214xB73,RS17-6669.1@,UL18A-672@,UNISEM_18B_1732@,PV21-1474,CLY21B7-275,83,,,,
LANDB073B,BC1S3,LANDB073,B,SA_21-High,HiLo,CIMMYTMA-024925,26507,JUN.160,SNJERO,-11.904015,-75.321984,3315,,RS17-214xB73,RS17-214xB73,RS17-6669.2@,UNISEM_18B_1733@,PV21-1619,,,,,,,
LANDB073C,BC1S4-bulked,LANDB073,C,SA_21-High,HiLo,CIMMYTMA-024925,26507,JUN.160,SNJERO,-11.904015,-75.321984,3315,,RS17-214xB73,RS17-214xB73,RS17-6669.3@,UNISEM19A_RS-82(RS19-7082)@,UNISEM19B-12652,RS20-3378.1@,PV21-107,9.4,,,,
LANDB074A,BC1S4-bulked,LANDB074,A,SA_21-Low,HiLo,CIMMYTMA-009025,14715,PERU1124,ENANO,-12,-70.25,234,,RS17-77xB73,,RS17-6670.1@,UL18A-675@,UNISEM_18B_1735@,RS19-3189,PV21-108,928,CLY21-B7-149,196,,
LANDB074B,BC1S4-bulked,LANDB074,B,SA_21-Low,HiLo,CIMMYTMA-009025,14715,PERU1124,ENANO,-12,-70.25,234,,RS17-77xB73,,RS17-6670.2@,UL18A-676@,UNISEM_18B_1736@,RS19-3190,PV21-109,537,CLY21-B7-150,138,,
LANDB074C,BC1S4-bulked,LANDB074,C,SA_21-Low,HiLo,CIMMYTMA-009025,14715,PERU1124,ENANO,-12,-70.25,234,,RS17-77xB73,,RS17-6670.3@,UL18A-677@,UNISEM_18B_1737@,RS19-3191,PV21-110,452,,,,
LANDB076A,BC1S4,LANDB076,A,SA_22-Low,HiLo,CIMMYTMA-026034,27347,PAS.18,,-10.33333333,-74.9,252,,RS17-165xB73,,RS17-6671.1@,UL18A-678@,UNISEM_18B_1738@,PV21-1475,,,,,,
LANDB076B,BC1S4,LANDB076,B,SA_22-Low,HiLo,CIMMYTMA-026034,27347,PAS.18,,-10.33333333,-74.9,252,,RS17-165xB73,,RS17-6671.2@,UL18A-679@,UNISEM_18B_1739@,PV21-1476,,,,,,
LANDB076C,Lost,,,SA_22-Low,HiLo,CIMMYTMA-026034,27347,PAS.18,,-10.33333333,-74.9,252,,RS17-165xB73,,,,,,,,,,,
LANDB077A,BC1S4,LANDB077,A,SA_23-High,HiLo,CIMMYTMA-022843,24978,BOYA371,SABANE,5.399671,-73.101212,2150,,RS17-140xB73,,RS17-6672.1@,UNISEM19B-12653,RS20-3379.1@,PV21-111,,240,,,,
LANDB077B,BC1S4,LANDB077,B,SA_23-High,HiLo,CIMMYTMA-022843,24978,BOYA371,SABANE,5.399671,-73.101212,2150,,RS17-140xB73,,RS17-6672.2@,UNISEM_18B_1742@,PV21-1620,CLY21-467@,,,,,,
LANDB077C,BC1S4-bulked,LANDB077,C,SA_23-High,HiLo,CIMMYTMA-022843,24978,BOYA371,SABANE,5.399671,-73.101212,2150,,RS17-140xB73,,UL18A-683@,UNISEM_18B_1743@,UNISEM19B-12654,RS20-3380.1@,PV21-112,46,,,,
LANDB078A,BC1S4-bulked,LANDB078,A,SA_23-Low,HiLo,CIMMYTMA-019738,22297,CALD369,,5.32,-74.92,840,,RS17-141xB73,RS17-260xB73,RS17-6673.1@,UL18A-684@,UNISEM_18B_1744@,RS19-3194,PV21-113,310,,,,
LANDB078B,BC1S4-bulked,LANDB078,B,SA_23-Low,HiLo,CIMMYTMA-019738,22297,CALD369,,5.32,-74.92,840,,RS17-141xB73,RS17-260xB73,RS17-6673.2@,UL18A-685@,UNISEM_18B_1745@,RS19-3195,PV21-114,335,,,,
LANDB078C,BC1S4-bulked,LANDB078,C,SA_23-Low,HiLo,CIMMYTMA-019738,22297,CALD369,,5.32,-74.92,840,,RS17-141xB73,RS17-260xB73,RS17-6673.3@,UL18A-686@,UNISEM_18B_1746@,RS19-3196,PV21-115,413,,,,
LANDB080A,BC1S4-bulked,LANDB080,A,SA_24-Low,HiLo,CIMMYTMA-008993,14686,PERU637,COLORA,-8.597077,-78.732381,14,,RS17-40xB73,,RS17-6674.1@,UNISEM_18B_1747@,UNISEM19B-12655,RS20-3381.1@,PV21-116,295,,,,
LANDB080B,BC1S4-bulked,LANDB080,B,SA_24-Low,HiLo,CIMMYTMA-008993,14686,PERU637,COLORA,-8.597077,-78.732381,14,,RS17-40xB73,,RS17-6674.2@,UL18A-688@,UNISEM_18B_1748@,RS19-3197,PV21-117,480,,,,
LANDB080C,BC1S4-bulked,LANDB080,C,SA_24-Low,HiLo,CIMMYTMA-008993,14686,PERU637,COLORA,-8.597077,-78.732381,14,,RS17-40xB73,,RS17-6674.3@,UL18A-689@,UNISEM_18B_1749@,RS19-3200/PV21-1477,PV21-118,66,,,,
LANDB081A,BC1S4,LANDB081,A,SA_25-High,HiLo,CIMMYTMA-024848,26430,BOZM1458,KELLU,-20.816261,-66.215533,3937,,RS17-195xB73,,RS17-6675.1@,UL18A-690@,UNISEM_18B_1750@,PV21-1478,,,,,,
LANDB081B,BC1S4,LANDB081,B,SA_25-High,HiLo,CIMMYTMA-024848,26430,BOZM1458,KELLU,-20.816261,-66.215533,3937,,RS17-195xB73,,RS17-6675.2@,UL18A-691@,UNISEM_18B_1751@,PV21-1479,,,,,,
LANDB081C,BC1S4,LANDB081,C,SA_25-High,HiLo,CIMMYTMA-024848,26430,BOZM1458,KELLU,-20.816261,-66.215533,3937,,RS17-195xB73,,RS17-6675.3@,UL18A-692@,UNISEM_18B_1752@,RS19-3201,,,,,,
LANDB082A,BC1S4-bulked,LANDB082,A,SA_25-Low,HiLo,CIMMYTMA-014383,2860,BOZM1348,CUBAAM,-20.680467,-63.292271,755,,RS17-194xB73,RS17-194xB73,RS17-6676.1@,UL18A-693@,UNISEM_18B_1753@,RS19-3202,PV21-119,305,,,,
LANDB082B,BC1S4-bulked,LANDB082,B,SA_25-Low,HiLo,CIMMYTMA-014383,2860,BOZM1348,CUBAAM,-20.680467,-63.292271,755,,RS17-194xB73,RS17-194xB73,RS17-6676.2@,UNISEM_18B_1754@,UNISEM19B-12656,RS20-3382.1@,PV21-120,349,,,,
LANDB082C,BC1S4,LANDB082,C,SA_25-Low,HiLo,CIMMYTMA-014383,2860,BOZM1348,CUBAAM,-20.680467,-63.292271,755,,RS17-194xB73,RS17-194xB73,RS17-6676.3@,UNISEM_18B_1755@,PV21-1621,CLY21-468@,,,,,,
LANDB083A,BC1S4-bulked,LANDB083,A,SA_26-High,HiLo,CIMMYTMA-021797,24040,ECUA8833,MISHCA,-0.148041,-78.457937,2890,,RS17-50xB73,RS17-152xB73,RS17-6677.1@,UNISEM_18B_1756@,UNISEM19B-12657,RS20-3383.1@,PV21-121,316,,,,
LANDB083B,BC1S4,LANDB083,B,SA_26-High,HiLo,CIMMYTMA-021797,24040,ECUA8833,MISHCA,-0.148041,-78.457937,2890,,RS17-50xB73,RS17-152xB73,RS17-6677.2@,UL18A-697@,UNISEM_18B_1757@,PV21-1480,,,,,,
LANDB083C,BC1S4-bulked,LANDB083,C,SA_26-High,HiLo,CIMMYTMA-021797,24040,ECUA8833,MISHCA,-0.148041,-78.457937,2890,,RS17-50xB73,RS17-152xB73,RS17-6677.3@,UL18A-698@,UNISEM_18B_1758@,RS19-3204,PV21-122,119,,,,
LANDB084A,BC1S4,LANDB084,A,SA_26-Low,HiLo,CIMMYTMA-017379,20678,ECUA652,,-1.066298,-80.44021,36,,RS17-51xB73,RS17-153xB73,RS17-6678.1@,UL18A-699@,UNISEM_18B_1759@,PV21-1481,,,,,,
LANDB084B,BC1S4,LANDB084,B,SA_26-Low,HiLo,CIMMYTMA-017379,20678,ECUA652,,-1.066298,-80.44021,36,,RS17-51xB73,RS17-153xB73,RS17-6678.2@,UL18A-700@,UNISEM_18B_1760@,PV21-1482,,,,,,
LANDB084C,BC1S4,LANDB084,C,SA_26-Low,HiLo,CIMMYTMA-017379,20678,ECUA652,,-1.066298,-80.44021,36,,RS17-51xB73,RS17-153xB73,RS17-6678.3@,UL18A-701@,UNISEM_18B_1761@,PV21-1483,,,,,,
LANDB085A,BC1S4,LANDB085,A,SA_27-High,HiLo,CIMMYTMA-024902,26484,CUZ.290,,-13.950973,-71.744682,3061,,RS17-246xB73,RS17-246xB73,RS17-6679.1@,UL18A-702@,UNISEM_18B_1762@,PV21-1484,,,,,,
LANDB085B,BC1S4,LANDB085,B,SA_27-High,HiLo,CIMMYTMA-024902,26484,CUZ.290,,-13.950973,-71.744682,3061,,RS17-246xB73,RS17-246xB73,RS17-6679.2@,UL18A-703@,UNISEM_18B_1763@,PV21-1485,,,,,,
LANDB085C,BC1S4,LANDB085,C,SA_27-High,HiLo,CIMMYTMA-024902,26484,CUZ.290,,-13.950973,-71.744682,3061,,RS17-246xB73,RS17-246xB73,UL18A-704@,UNISEM_18B_1764@,PV21-1623,CLY21-469@,,,,,,
LANDB086A,BC1S4,LANDB086,A,SA_27-Low,HiLo,CIMMYTMA-016818,20288,ICA42,,-14.660126,-75.219284,236,,RS17-247xB73,RS17-247xB73,RS17-6680.1@,UL18A-705@,UNISEM_18B_1765@,PV21-1486,,,,,,
LANDB086B,BC1S4,LANDB086,B,SA_27-Low,HiLo,CIMMYTMA-016818,20288,ICA42,,-14.660126,-75.219284,236,,RS17-247xB73,RS17-247xB73,UL18A-706@,UNISEM_18B_1766@,UNISEM19B-12658,PV21-1636,,,,,,
LANDB086C,BC1S4,LANDB086,C,SA_27-Low,HiLo,CIMMYTMA-016818,20288,ICA42,,-14.660126,-75.219284,236,,RS17-247xB73,RS17-247xB73,UL18A-707@,UNISEM_18B_1767@,UNISEM19A_RS-92(RS19-7092)@,PV21-1624,,,,,,
LANDB087A,BC1S4,LANDB087,A,SA_28-High,HiLo,CIMMYTMA-012440,16832,PIUR106,,-4.635925,-79.710107,2641,,RS17-179xB73,RS17-179xB73,RS17-6681.1@,UL18A-708@,UNISEM_18B_1768@,PV21-1487,,,,,,
LANDB087B,BC1S4,LANDB087,B,SA_28-High,HiLo,CIMMYTMA-012440,16832,PIUR106,,-4.635925,-79.710107,2641,,RS17-179xB73,RS17-179xB73,UL18A-709@,UNISEM_18B_1769@,PV21-1625,CLY21-470@,,,,,,
LANDB087C,BC1S4,LANDB087,C,SA_28-High,HiLo,CIMMYTMA-012440,16832,PIUR106,,-4.635925,-79.710107,2641,,RS17-179xB73,RS17-179xB73,UL18A-710@,UNISEM_18B_1770@,UNISEM19A_RS-94(RS19-7094)@,PV21-1626,,,,,,
LANDB088A,BC1S4,LANDB088,A,SA_28-Low,HiLo,CIMMYTMA-026035,27348,PIUR152,,-4.872712,-80.711375,49,,RS17-178xB73,RS17-178xB73,RS17-6682.1@,UNISEM_18B_1771@,UNISEM19A_RS-95(RS19-7095)@,PV21-1627,,,,,,
LANDB088B,BC1S4,LANDB088,B,SA_28-Low,HiLo,CIMMYTMA-026035,27348,PIUR152,,-4.872712,-80.711375,49,,RS17-178xB73,RS17-178xB73,RS17-6682.2@,UL18A-712@,UNISEM_18B_1772@,PV21-1488,,,,,,
LANDB088C,BC1S4-bulked,LANDB088,C,SA_28-Low,HiLo,CIMMYTMA-026035,27348,PIUR152,,-4.872712,-80.711375,49,,RS17-178xB73,RS17-178xB73,RS17-6682.3@,UL18A-713@,UNISEM_18B_1773@,RS19-3213,PV21-123,253,,,,
LANDB089A,BC1S4-bulked,LANDB089,A,SA_29-High,HiLo,CIMMYTMA-024483,26132,ARZM09063,PISING,-23.534009,-65.76493,3488,,RS17-114xB73,,RS17-6683.1@,UL18A-714@,UNISEM_18B_1774@,RS19-3214,PV21-124,300,,,,
LANDB089B,BC1S4-bulked,LANDB089,B,SA_29-High,HiLo,CIMMYTMA-024483,26132,ARZM09063,PISING,-23.534009,-65.76493,3488,,RS17-114xB73,,RS17-6683.2@,UL18A-715@,UNISEM_18B_1775@,RS19-3215,PV21-125,558,,,,
LANDB089C,BC1S4,LANDB089,C,SA_29-High,HiLo,CIMMYTMA-024483,26132,ARZM09063,PISING,-23.534009,-65.76493,3488,,RS17-114xB73,,UL18A-716@,UNISEM_18B_1776@,PV21-1628,CLY21-471@,,,,,,
LANDB090A,BC1S4-bulked,LANDB090,A,SA_29-Low,HiLo,CIMMYTMA-026714,4254,ARZM07041,PERLIT,-23.78,-61.48,175,,RS17-232xB73,RS17-232xB73,RS17-6684.1@,UL18A-717@,UNISEM_18B_1777@,RS19-3216,PV21-126,626,,,,
LANDB090B,BC1S4-bulked,LANDB090,B,SA_29-Low,HiLo,CIMMYTMA-026714,4254,ARZM07041,PERLIT,-23.78,-61.48,175,,RS17-232xB73,RS17-232xB73,RS17-6684.2@,UL18A-718@,UNISEM_18B_1778@,RS19-3217,PV21-127,365,,,,
LANDB090C,BC1S4-bulked,LANDB090,C,SA_29-Low,HiLo,CIMMYTMA-026714,4254,ARZM07041,PERLIT,-23.78,-61.48,175,,RS17-232xB73,RS17-232xB73,UNISEM_18B_1779@,UNISEM19A_RS-97(RS19-7097)@,UNISEM19B-12659,RS20-3385.1@,PV21-128,236,,,,
LANDB091A,BC1S4-bulked,LANDB091,A,SA_3-High,HiLo,CIMMYTMA-013311,17221,ECUAX14210,MEZCLA,-3.620286,-79.237167,2497,,RS17-225xB73,,RS17-6685.1@,UL18A-720@,UNISEM_18B_1780@,RS19-3218,PV21-129,0,,,,
LANDB091B,BC1S4-bulked,LANDB091,B,SA_3-High,HiLo,CIMMYTMA-013311,17221,ECUAX14210,MEZCLA,-3.620286,-79.237167,2497,,RS17-225xB73,,RS17-6685.2@,UNISEM_18B_1781@,UNISEM19A_RS-98(RS19-7098)@,PV21-1629,CLY21B7-360,211,,,,
LANDB091C,BC1S4-bulked,LANDB091,C,SA_3-High,HiLo,CIMMYTMA-013311,17221,ECUAX14210,MEZCLA,-3.620286,-79.237167,2497,,RS17-225xB73,,RS17-6685.3@,UL18A-722@,UNISEM19B-12660,RS20-3386.1@,PV21-130,107,,,,
LANDB092A,BC1S4-bulked,LANDB092,A,SA_3-Low,HiLo,CIMMYTMA-010248,15729,ECUA,,-2.761385,-79.747472,2,,RS17-224xB73,,RS17-6686.1@,UL18A-723@,UNISEM_18B_1783@,RS19-3219,PV21-131,497,,,,
LANDB092B,BC1S4-bulked,LANDB092,B,SA_3-Low,HiLo,CIMMYTMA-010248,15729,ECUA,,-2.761385,-79.747472,2,,RS17-224xB73,,RS17-6686.2@,UL18A-724@,UNISEM_18B_1784@,RS19-3220,PV21-132,346,,,,
LANDB092C,BC1S4,LANDB092,C,SA_3-Low,HiLo,CIMMYTMA-010248,15729,ECUA,,-2.761385,-79.747472,2,,RS17-224xB73,,RS17-6686.3@,UL18A-725@,UNISEM_18B_1785@,RS19-3221,,,,,,
LANDB093A,BC1S4,LANDB093,A,SA_30-High,HiLo,CIMMYTMA-014996,18700,BOZM0696,MOROCH,-20.78333333,-64.76666667,3100,,RS17-160xB73,RS17-160xB73,RS17-6687.1@,UNISEM_18B_1786@,UNISEM19B-12661,PV21-1637,,,,,,
LANDB093B,BC1S4,LANDB093,B,SA_30-High,HiLo,CIMMYTMA-014996,18700,BOZM0696,MOROCH,-20.78333333,-64.76666667,3100,,RS17-160xB73,RS17-160xB73,RS17-6687.2@,UL18A-727@,UNISEM_18B_1787@,RS19-3222,,,,,,
LANDB093C,BC1S4-bulked,LANDB093,C,SA_30-High,HiLo,CIMMYTMA-014996,18700,BOZM0696,MOROCH,-20.78333333,-64.76666667,3100,,RS17-160xB73,RS17-160xB73,RS17-6687.3@,UNISEM_18B_1788@,UNISEM19B-12662,RS20-3388.1@,PV21-133,898,CLY21-B7-176,175,,
LANDB094A,BC1S4,LANDB094,A,SA_30-Low,HiLo,CIMMYTMA-014311,18078,BOZM0296,APERLA,-21.550444,-64.126759,920,,RS17-136xB73,,RS17-6688.1@,UL18A-729@,UNISEM_18B_1789@,PV21-1489,,,,,,
LANDB094B,BC1S4-bulked,LANDB094,B,SA_30-Low,HiLo,CIMMYTMA-014311,18078,BOZM0296,APERLA,-21.550444,-64.126759,920,,RS17-136xB73,,RS17-6688.2@,UL18A-730@,UNISEM_18B_1790@,RS19-3224,PV21-134,540,CLY21-B7-177,199,,
LANDB094C,BC1S4-bulked,LANDB094,C,SA_30-Low,HiLo,CIMMYTMA-014311,18078,BOZM0296,APERLA,-21.550444,-64.126759,920,,RS17-136xB73,,RS17-6688.3@,UL18A-731@,UNISEM_18B_1791@,RS19-3225,PV21-135,495,,,,
LANDB095A,BC1S4-bulked,LANDB095,A,SA_32-High,HiLo,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,RS17-231xB73,,RS17-6689.1@,UNISEM_18B_1792@,UNISEM19B-12663,RS20-3389.1@,PV21-136,157,CLY21-B7-178,199,,
LANDB095B,BC1S4-bulked,LANDB095,B,SA_32-High,HiLo,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,RS17-231xB73,,RS17-6689.2@,UNISEM_18B_1793@,UNISEM19B-12664,RS20-3390.1@,PV21-137,342,,,,
LANDB095C,BC1S4-bulked,LANDB095,C,SA_32-High,HiLo,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,RS17-231xB73,,RS17-6689.3@,UL18A-734@,UNISEM_18B_1794@,RS19-3226,PV21-138,606,CLY21-B7-181,175,,
LANDB096A,BC1S4,LANDB096,A,SA_32-Low,HiLo,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,RS17-230xB73,RS17-230xB73,RS17-6690.1@,UL18A-735@,PV21-1449,CLY21-616@,,,,,,
LANDB096B,BC1S4-bulked,LANDB096,B,SA_32-Low,HiLo,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,RS17-230xB73,RS17-230xB73,RS17-6690.2@,UL18A-736@,UNISEM_18B_1796@,RS19-3227,PV21-139,65,,,,
LANDB096C,BC1S4-bulked,LANDB096,C,SA_32-Low,HiLo,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,RS17-230xB73,RS17-230xB73,UL18A-737@,UNISEM_18B_1797@,UNISEM19B-12666,RS20-3391.1@,PV21-140,611,,,,
LANDB097A,BC1S4,LANDB097,A,SA_33-High,HiLo,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,RS17-155xB73,RS17-155xB73,RS17-6691.1@,UL18A-738@,UNISEM_18B_1798@,PV21-1490,,,,,,
LANDB097B,BC1S4-bulked,LANDB097,B,SA_33-High,HiLo,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,RS17-155xB73,RS17-155xB73,RS17-6691.2@,UL18A-739@,UNISEM_18B_1799@,RS19-3229,PV21-141,207,,,,
LANDB097C,BC1S4-bulked,LANDB097,C,SA_33-High,HiLo,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,RS17-155xB73,RS17-155xB73,RS17-6691.3@,UL18A-740@,UNISEM_18B_1800@,RS19-3230,PV21-142,585,,,,
LANDB098A,BC1S4,LANDB098,A,SA_33-Low,HiLo,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,RS17-154xB73,,RS17-6692.1@,UNISEM_18B_1801@,UNISEM19B-12667,PV21-1638,,,,,,
LANDB098B,Lost,,,SA_33-Low,HiLo,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,RS17-154xB73,,UNISEM_18B_1802@,UNISEM19B-12604,RS20-3452.1@,,,,,,,
